01:00:07:09.49,Rock1 130 in A,00:00:22:03.68
01:00:38:14.08,Rock1 90 in C#,00:00:32:00.00
01:01:19:06.75,Rock2 142 in D,00:00:27:01.04
01:01:55:08.55,Rock2 85 in F,00:00:45:04.33
01:02:49:10.28,Rock3 148 in C,00:00:25:23.52
01:03:22:17.52,Rock3 117 in Bb,00:00:32:20.41
01:04:04:10.58,SS1 100 in C#,00:00:28:20.00
01:04:45:02.15,SS1 68 in E,00:00:42:08.66
01:05:39:23.68,SS2 88 in F,00:00:43:15.73
01:06:33:13.21,SS2 107 in Ab,00:00:35:22.16
01:07:19:15.38,SS3 84 in Bb,00:00:45:17.69
01:08:15:23.50,SS3 98 in C,00:00:39:04.47
01:09:03:18.55,BN1 129 in Eb,00:00:22:08.11
01:09:33:01.39,BN1 147 in Gb,00:00:19:14.64
01:09:58:20.17,BN2 166 in Ab,00:00:23:03.25
01:10:28:12.34,BN2 131 in B,00:00:29:07.66
01:11:04:14.61,BN3 154 in E,00:00:24:23.30
01:11:36:16.73,BN3 119 in G,00:00:32:06.58
01:12:15:09.38,Jazz1 200 in B,00:00:14:10.00
01:12:35:21.62,Jazz1 130 in D,00:00:22:03.68
01:13:04:07.08,Jazz2 187 in F#,00:00:20:13.30
01:13:31:18.59,Jazz2 110 in Bb,00:00:34:22.58
01:14:14:05.44,Jazz3 150 in C,00:00:25:15.00
01:14:46:13.11,Jazz3 137 in Eb,00:00:28:00.58
01:15:22:06.58,Funk1 114 in Ab,00:00:25:06.46
01:15:56:17.22,Funk1 97 in C,00:00:29:17.21
01:16:35:19.29,Funk2 108 in Eb,00:00:35:13.71
01:17:19:20.17,Funk2 119 in G,00:00:32:06.58
01:18:01:00.17,Funk3 98 in A,00:00:39:04.47
01:18:49:09.32,Funk3 112 in C#,00:00:34:07.11
